 # Tag              Time [sec]                Mass [g]             posx [code]             posy [code]             velx [code]             vely [code]             accx [code]             accy [code]
     1      0.835704000000E+08      0.198900000000E+34     -0.221725044769E+14     -0.200888652438E+14     -0.133341419598E+07      0.147171737939E+07      0.976863959174E-01      0.885064132373E-01
     1      0.842011200000E+08      0.198900000000E+34     -0.229938424704E+14     -0.191432930853E+14     -0.127065110178E+07      0.152623433316E+07      0.101305001473E+00      0.843404636129E-01
     1      0.848318400000E+08      0.198900000000E+34     -0.237748864381E+14     -0.181641745393E+14     -0.120566133982E+07      0.157807673933E+07      0.104746081834E+00      0.800267171703E-01
     1      0.854625600000E+08      0.198900000000E+34     -0.245142676915E+14     -0.171532253970E+14     -0.113855879705E+07      0.162715375015E+07      0.108003606908E+00      0.755727332468E-01
     1      0.860932800000E+08      0.198900000000E+34     -0.252106905511E+14     -0.161122172287E+14     -0.106946106285E+07      0.167337936388E+07      0.111071868264E+00      0.709863169293E-01
     1      0.867240000000E+08      0.198900000000E+34     -0.258629346174E+14     -0.150429742798E+14     -0.998489222952E+06      0.171667257552E+07      0.113945489131E+00      0.662755053773E-01
     1      0.873547200000E+08      0.198900000000E+34     -0.264698569085E+14     -0.139473702738E+14     -0.925767647211E+06      0.175695751878E+07      0.116619433825E+00      0.614485537382E-01
     1      0.879854400000E+08      0.198900000000E+34     -0.270303938641E+14     -0.128273251288E+14     -0.851423771706E+06      0.179416359899E+07      0.119089016570E+00      0.565139206814E-01
     1      0.886161600000E+08      0.198900000000E+34     -0.275435632085E+14     -0.116848015934E+14     -0.775587875402E+06      0.182822561684E+07      0.121349909711E+00      0.514802535754E-01
     1      0.892468800000E+08      0.198900000000E+34     -0.280084656724E+14     -0.105218018066E+14     -0.698392851860E+06      0.185908388263E+07      0.123398151296E+00      0.463563733343E-01
     1      0.898776000000E+08      0.198900000000E+34     -0.284242865684E+14     -0.934036378990E+13     -0.619973976347E+06      0.188668432083E+07      0.125230152020E+00      0.411512589601E-01
     1      0.905083200000E+08      0.198900000000E+34     -0.287902972190E+14     -0.814255787557E+13     -0.540468668794E+06      0.191097856492E+07      0.126842701518E+00      0.358740318083E-01
     1      0.911390400000E+08      0.198900000000E+34     -0.291058562332E+14     -0.693048307870E+13     -0.460016252973E+06      0.193192404206E+07      0.128232973984E+00      0.305339396033E-01
     1      0.917697600000E+08      0.198900000000E+34     -0.293704106306E+14     -0.570626341894E+13     -0.378757712353E+06      0.194948404774E+07      0.129398533128E+00      0.251403402336E-01
     1      0.924004800000E+08      0.198900000000E+34     -0.295834968105E+14     -0.447204419839E+13     -0.296835443045E+06      0.196362781011E+07      0.130337336444E+00      0.197026853523E-01
     1      0.930312000000E+08      0.198900000000E+34     -0.297447413644E+14     -0.322998824223E+13     -0.214393004265E+06      0.197433054387E+07      0.131047738788E+00      0.142305038148E-01
     1      0.936619200000E+08      0.198900000000E+34     -0.298538617298E+14     -0.198227210857E+13     -0.131574866765E+06      0.198157349374E+07      0.131528495264E+00      0.873338498061E-02
     1      0.942926400000E+08      0.198900000000E+34     -0.299106666862E+14     -0.731082274358E+12     -0.485261596662E+05      0.198534396728E+07      0.131778763402E+00      0.322096190869E-02
     1      0.949233600000E+08      0.198900000000E+34     -0.299150566894E+14      0.521388696231E+12      0.346075838642E+05      0.198563535719E+07      0.131798104636E+00     -0.229710552299E-02
     1      0.955540800000E+08      0.198900000000E+34     -0.298670240465E+14      0.177294599397E+13      0.117680681643E+06      0.198244715283E+07      0.131586485073E+00     -0.781114754542E-02
     1      0.961848000000E+08      0.198900000000E+34     -0.297666529291E+14      0.302139641073E+13      0.200547557761E+06      0.197578494117E+07      0.131144275551E+00     -0.133115014436E-01
     1      0.968155200000E+08      0.198900000000E+34     -0.296141192258E+14      0.426455218284E+13      0.283062997689E+06      0.196566039695E+07      0.130472250992E+00     -0.187885284895E-01
     1      0.974462400000E+08      0.198900000000E+34     -0.294096902343E+14      0.550023482487E+13      0.365082402748E+06      0.195209126225E+07      0.129571589039E+00     -0.242326308326E-01
     1      0.980769600000E+08      0.198900000000E+34     -0.291537241923E+14      0.672627894717E+13      0.446462043502E+06      0.193510131540E+07      0.128443867998E+00     -0.296342683188E-01
     1      0.987076800000E+08      0.198900000000E+34     -0.288466696506E+14      0.794053605049E+13      0.527059311629E+06      0.191472032929E+07      0.127091064068E+00     -0.349839752093E-01
     1      0.993384000000E+08      0.198900000000E+34     -0.284890646863E+14      0.914087829095E+13      0.606732969822E+06      0.189098401923E+07      0.125515547879E+00     -0.402723767670E-01
     1      0.999691200000E+08      0.198900000000E+34     -0.280815359605E+14      0.103252022088E+14      0.685343399292E+06      0.186393398032E+07      0.123720080341E+00     -0.454902056855E-01
